"linked_id","versiontags","newest_version"
1283,"[""2.42.0"", ""2.42.2"", ""2.42.3"", ""2.42.4"", ""2.44.0"", ""2.44.1"", ""2.46.0"", ""2.46.1"", ""2.47.0"", ""2.47.1"", ""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1662,"[""2.46.0"", ""2.46.1"", ""2.47.0"", ""2.47.1"", ""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2719,"[""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1438,"[""2.44.1"", ""2.46.0"", ""2.46.1"", ""2.47.0"", ""2.47.1"", ""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1476,"[""2.46.0"", ""2.46.1"", ""2.47.0"", ""2.47.1"", ""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2595,"[""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
1541,"[""2.46.0"", ""2.46.1"", ""2.47.0"", ""2.47.1"", ""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
3056,"[""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
2216,"[]",NULL
1834,"[""2.47.0"", ""2.47.1"", ""2.47.2"", ""2.47.3"", ""2.48.0"", ""2.49.0"", ""2.49.1"", ""2.49.2"", ""2.49.3"", ""2.50.0"", ""3.0.0"", ""4.0.0"", ""5.0.0"", ""5.0.1"", ""6.0.1"", ""6.0.2"", ""7.0.0"", ""7.0.1"", ""7.0.2"", ""7.0.3"", ""7.0.4"", ""7.0.5"", ""7.0.6"", ""7.1.0"", ""8.0.1"", ""8.0.2""]","8.0.2"
